"ClaimNumber","LossCause","InsuredAge"
"00f46cc7c6564bc8d31b5d771505a9c3","Collision with motor vehicle",67
"00f6208ec9f4b88c57001dd0eb766559","Collision with motor vehicle",57
"01001efc3d1f52f8766179896b75b597","Collision with motor vehicle",24
"0103fed913817bd0095782e48e945b35","Collision with motorcycle",58
"010be6be8b7cf39cc0e1c0f819646b6d","Collision with motor vehicle",56
"010db7bc0d67ca04729beaa350d2035d","Collision with animal",71
"010e8d6ce93e8f57b59ac99c86324560","Collision with motor vehicle",75
"011f57616969956803cb715e1b939c83","Collision with motor vehicle",76
"0131e180f113a0c6cf981c3c4c38d06f","Collision with motor vehicle",28
"0135e2ce57c4ac83d0a6f8231ea91b07","Collision with motor vehicle",48
"013ba970ebe5383757e1d6127c91fe0a","Collision with fixed object",55
"013e754212fbbd9cf138f6ae4f8cc727","Collision with motor vehicle",67
"013efe1b648fc81ac591239fcc1a8dec","Collision with motor vehicle",54
"01415eda754f6c347690057b2ce9106d","Hit while parked - insured",68
"0143ddad50527479f3b1e9fe8a4ca4e1","All other",62
"014d82445d9ff51e298ad73e9c42d55f","Collision with motor vehicle",40
"0150ab674e2de3857f220330cae62b12","All other",61
"0150fdb1897254913c9b2f30b6f1fc94","Collision with motor vehicle",60
"0155d4a21ff98e76dcff9da236736d6d","Towing",43
"01612a678d6fb4f7012335eaa2960b98","Collision with animal",45
"01652d8274270844829dfbc51d9fc1b6","Collision with motor vehicle",86
"01698be23a394280f6cfe400e9538037","Rollover",53
"0173a27cef2fa87bddad90ee484e6f30","Collision with motor vehicle",73
"0178e8fb305e19561d32e5b1db93e8e9","Collision with motor vehicle",55
"017cc2060f4d4c5d4e63179a1044d5fe","Collision with fixed object",47
"018116be7f647535a951ea242f2ae880","Collision with motor vehicle",80
"0187985766ad6fd3261c5685ed56d212","Rollover",44
"018f276666c020f82feef35ab2af48be","Collision with motor vehicle",47
"01985869afe5343e9abee64e0a0c2f4b","Collision with motor vehicle",55
"01accf67b61c87007623033798d02e62","Collision with motor vehicle",69
"01acf7d5295f97e0e7e229a655ea8bf3","Collision with motor vehicle",51
"01b2d1e326b5337e0b4462061b148bae","Collision with motor vehicle",51
"01b4ff774b338ade14bf8cdee09c20bb","Collision with motor vehicle",38
"01b664d7d4c790104c6d0157de398673","Collision with motor vehicle",55
"01b95b70248d4cda0fda599834faef2d","Collision with other object",62
"01c26315128cb7336d89725de2c1130c","Collision with motor vehicle",58
"01c61bba5c330e829dc998d4c4f2d43c","Collision with fixed object",86
"01cc626816598ca452efe52ca107efb4","Collision with motor vehicle",62
"01d1df96344b4755331be8a7f9d63410","Collision with motor vehicle",84
"01d5d4d336b170a0700ad5bbf68a9bad","Collision with motor vehicle",60
"01d779a760afd327072226e2a98ce033","Collision with motor vehicle",40
"01dddc9375d40a20bea73bbb6cad3d25","Towing",56
"01df13a6b34e44f7264e695dbe0862c6","Collision with motor vehicle",50
"01e95173c587a64c2f7b0d5ba9c86a74","Collision with fixed object",45
"01ee12fbad2e68b449c24b961d608463","Collision with motor vehicle",47
"01efb6467f554eb168f3532fc5c34dd9","Collision with motor vehicle",64
"01f36dbb049a9bdfe445aeddfdbbdda6","Collision with motor vehicle",65
"01f4b93f8447c90bad989cb6d1934dca","Collision with motor vehicle",40
"01ffee9152417cf8bafddb805444d401","Collision with motor vehicle",44
"0205fd4307ae14b60eb074601c1aafc6","Collision with motor vehicle",60
"021a99158c0de69b90bbdd1a57fdf1a7","Collision with fixed object",45
"021ac888f06ac203ad0c599ac7d632c2","Collision with fixed object",51
"021f0534791adcca4e5e64bdaf6fb7d0","Collision with fixed object",59
"0225251541d42a13f65c7da40562b6b9","Hit and run",71
"0229dc2a1c75988866e202bf47f0da5f","Collision with fixed object",47
"022ab62eb2fb6a781f5d508549858144","Collision with motor vehicle",58
"022f717a4914a85ee5825b3a5be9a05a","Collision with motor vehicle",60
"023acb20c46f6c0a26e1d55f3e3116d8","Collision with motor vehicle",42
"024bf092a60f2ead27454a5dbf84b569","Collision with motor vehicle",50
"024e3c8e70dbb876558981fceae90ce8","Rollover",38
"025b2d5bb492622b0665516a0e4d691d","Collision with animal",62
"025f3369464752825861ff5ae5169ab4","All other",71
"026202c0221f83fb9ef66f32fc3503ca","Collision with motor vehicle",70
"02620b9914cb33950bd7337bae0dbbce","Collision with fixed object",53
"0271f2c57327a050245f5f29fdcefcad","Collision with motor vehicle",79
"027f0e6f0a6a7122534f748c764a3488","Collision with fixed object",57
"0282cf8cbdfc67c117760ff77fd91726","Hit and run",63
"028538679c0182fb63b3a69c6de1f7ce","Collision with motor vehicle",61
"028ceab3d5074bed07583fcc10949bb7","Collision with motor vehicle",50
"028fd9bfa2753138484e84b16e77c765","Collision with motor vehicle",51
"029198a1bf23362c7b264e866d5f8fc8","Collision with motor vehicle",52
"02a1d660ee05ffca120c18c4fe2373fd","Collision with fixed object",79
"02a7efaec9f2d81683029988eb3e2ab4","Entering or getting out of a vehicle",51
"02aafcbf23df7dd33e7df2da370efb49","Collision with motor vehicle",35
"02ab700cf06a25b71c8e7cd2cde43a89","Collision with pedestrian",60
"02ac4b2d88ec2a027fa28e90c538bc69","Collision with fixed object",83
"02b6b3f96655b3322f0283c00a634099","Collision with motor vehicle",57
"02bc51bb3e5df470858b44482b3c2a4b","Collision with motor vehicle",55
"02c251f2bbb9b94899b35679766832e7","All other",51
"02c5ae3188ca83cef970eaa4b18bef9e","Collision with fixed object",48
"02c7366b7ae3ade579c700c3ecbdc1a5","Collision with motor vehicle",50
"02ca77ecd850e49b152138bcc27c4bbb","Collision with motor vehicle",86
"02cf0fe7522cd962ee84f0d37e0e6d1d","Falling object(s)",67
"02d35dbf7bd2f9d3d4ae4f60f2de42ef","Collision with motor vehicle",62
"02d6e198a796c2eeca1852fd9e0474c3","Collision with motor vehicle",64
"02dd97e470e7fadac6fa49452987d838","Collision with motor vehicle",50
"02de0c40d168c89eed94923bb4e04028","Collision with motor vehicle",47
"02ded777f186bd08e78b73cd56ec7b07","Collision with motor vehicle",48
"02e22cf6388b333e5c2b8055f3c33d42","Collision with motor vehicle",35
"02e245a722b39da8eb3e30a3c85cce66","Collision with motor vehicle",42
"02e4d7e7159ecf862a78152f7d77104c","Collision with motor vehicle",62
"02eb4a7d73b39c51c31c2caf32c26293","Collision with motor vehicle",48
"02ec20bf9b0bfe139c380927c15e39a8","Collision with motor vehicle",59
"02f4f0c09f164430ec77652cdc0490db","Collision with motor vehicle",63
"02f5b216233c45a9c98d127c25d5fdd6","Collision with motor vehicle",50
"02fa5f5d3e6540d2cbf0aff30cc9451a","Collision with motor vehicle",47
"02fb1f177e8bc29186bf5f05a728d938","Collision with fixed object",52
"02fbfbf218ba028184280f5f05f0bda3","Collision with fixed object",73
"02fda99c06f2ef0b5bc98b8b81263983","Collision with motor vehicle",62
"03090259bfceac5bb31752c0b54fb648","Collision with motor vehicle",75
"030fbff0f1c106b88f4b22e8a32f6a2c","Hit and run",61
"030fff5c8e75b0e12db7eba9f0d67626","Collision with motor vehicle",72
"031f97f51d8300cb51006fb9b495f3c6","Collision with fixed object",48
"032038524feb0dced3936843e7e72a0c","Collision with motor vehicle",52
"0323266ed959120cd55050ee10ece3be","Collision with motorcycle",72
"03240e9b3909d4f9d7d264c5e35435e6","Collision with fixed object",28
"03283f67091ec7c9e6581309fe1d97fe","All other",74
"0334a4cca080b742b330ca059dc6f0e8","Entering or getting out of a vehicle",75
"03351e7b7de1d152daf5eaed43572b70","Collision with fixed object",71
"03363f8aa7dfbd213231583e55c6a8ab","Collision with motor vehicle",66
"03398a6f6459d8c13fef8261ea44fd3f","Collision with fixed object",84
"03446b0d1b9bdc5befb6e1650f525543","Collision with motor vehicle",57
"03469aaad2d41beeb17c623810114a0a","Collision with motor vehicle",85
"035d3f667e259fadb4757fe891920c3e","Collision with motor vehicle",69
"035f5957024bcdc086608b2579fddbad","Collision with fixed object",73
"0360a3e86fc95aa72105fdb7404858f0","Collision with motor vehicle",60
"03619328c4730062ae0329934b0d2c6a","Collision with motor vehicle",59
"0363f5e7fd8f498127b1146fac210415","Collision with motor vehicle",59
"0367c8d317e6f4fcbd0301851befdb56","Collision with motor vehicle",64
"037bcffc197261fe4dc83d226367ec38","Collision with motorcycle",43
"0388a9dcf79b362faf0bde9e04aa46ea","Collision with fixed object",54
"038de5c893122968111d2314c2025ead","Collision with motor vehicle",62
"038fc76e2151d2a74eae0750ffdfa7fa","Collision with fixed object",66
"039707aae1c0b09536faea6f4369de8b","Collision with motor vehicle",77
"03990984964f7f3f3e7e0f512504c0af","Collision with motor vehicle",43
"039bcbda1d35da60bced34fabea807c6","Collision with motor vehicle",91
"03a566ad3ab6f7b5ed1a6ab5882d9314","Collision with motor vehicle",43
"03a5bc308ab65df633660932cd484508","Collision with motor vehicle",59
"03aa0afa3ad708164147e762f0dcd0d7","Collision with motor vehicle",50
"03abad1ac5f354f8e6a74fb64cd5069e","Collision with animal",63
"03ac8f5c5bbb2baa471db52ea8527393","Collision with motor vehicle",56
"03b51da7f7c0174b4b20129269b00d0e","Collision with pedestrian",62
"03b9f0573584abd37829707c213a20c3","Collision with motor vehicle",36
"03c2b13d1aa03c8a5f1193798d739281","Collision with motor vehicle",47
"03c4858f2d54cb1e5ea98b9a0fb081db","Collision with motor vehicle",61
"03c6eff4146660e1a9b5ac3fe6aebd7b","Collision with fixed object",72
"03c842706dfae66cce4d0afe7b9625e7","Collision with other object",64
"03ce6b15dfe5a1873d15ee52281a36cd","Collision with fixed object",53
"03d02db6920462391fe022f8cbc7be1a","Rollover",79
"03d1c6d6af37275f799471b55118003e","Collision with fixed object",55
"03d42cd65869f5225a978ac2bbc8cb9d","Collision with motor vehicle",57
"03de15ef48cd383145e7512474ce13ff","Collision with motor vehicle",40
"03e34db2680ec0ff0a821f70d06f2d9f","Collision with motor vehicle",52
"03e34f299a8109634a8f55608253e77f","Collision with motor vehicle",54
"03e52413877becd7617a2c59ba94cb1f","Collision with motor vehicle",45
"03ea5387b26956df1962236a9ed8df8c","Collision with motor vehicle",38
"03edd6de790fc042259d838c326fc3da","Collision with motor vehicle",39
"03ee10626104634596fa1cc0f26b0541","Collision with motor vehicle",56
"03f1c65a547bd050dc80ab01a658b60f","Collision with motor vehicle",65
"03f5a303e0f9096640a77bd1e4d3c818","Collision with motor vehicle",83
"03f6cbcd5d3f6e87bd3cdf2411a055ee","Collision with motor vehicle",53
"041e4633a06467375e48265b83681de5","Collision with motor vehicle",51
"041e7e43453dcccaa3e484a905dcedd1","Collision with fixed object",66
"0420293483afd45ef6d58062e6b05bc4","Collision with motor vehicle",60
"04288da08736e7f9dae421559196a839","Collision with motor vehicle",34
"04292520b22f6a96f7908fa71a245dec","Collision with motor vehicle",94
"04294c597be19f1f43b77d1d567f89cc","Collision with motor vehicle",23
"04296bdc814dc3ebec5544e1eaa27552","Collision with motor vehicle",60
"042ba49fc60a76b126a376f2bbe656cb","Collision with motor vehicle",72
"042d077bc926ee57f5e560a9088d087c","Collision with motor vehicle",63
"0441df49548d95c1eec4ad3e159ff44d","Collision with motor vehicle",43
"0442858df39f71366c674330169ca94d","Collision with fixed object",57
"04478829c38ce2372c9efac0ccc141b3","Collision with motor vehicle",78
"044a9fb135a5baea487f9821b5c100ae","Collision with motor vehicle",64
"044d00e8a87d1c3a77671069fe36484b","Collision with motor vehicle",86
"044f04219a3ecd605d79dc68d7ec8028","Collision with motor vehicle",69
"04602e1f0450d5782639c520ea094d79","Collision with motor vehicle",73
"0461370c613a0d73e54b6528c87833cf","Collision with motor vehicle",67
"046b032ae1329498f5279a6449a25d00","Collision with animal",55
"04716d6c48e0b55efeb488464fd357d2","Collision with motor vehicle",72
"047267fabbb11ad61f9645307eeacfd6","Collision with motor vehicle",34
"0484e10425d3729cc5ff976708fff834","Collision with motor vehicle",47
"04958ed7b514e02a189f12f3ede2ae49","Collision with animal",49
"0496cd7e582b12358979b75121d462d3","Rollover",65
"0499a9b714d6a66c940ed64f590306b7","Collision with motor vehicle",51
"0499ec87ab32f791948da2675faf818c","All other",85
"049ad98b96e57f3bec649799198c286b","Collision with fixed object",62
"04a07f8328b81c58a2f4dbf356b2fcc2","All other",57
"04a62c5b7550da6b2e83d7a858ac5564","Collision with motor vehicle",86
"04a96bd5892394669dc428732faca435","Collision with motor vehicle",62
"04b25f8f5cbb79fb525cb1eb089f43b6","Collision with motor vehicle",58
"04bc96ff6f286986c31fe933cf3900ee","Collision with motor vehicle",75
"04c685d8f6072ae38c960314077ecd8e","Collision with motor vehicle",61
"04d2e35f1be82729898237005865af35","Collision with animal",57
"04d58d9a8b9172a9dcafcffc3198ae26","Collision with motor vehicle",40
"04da616c50b79896164d387b39024f41","Collision with motor vehicle",44
"04dd5de4b6149e79179bf0b648e11c14","Collision with motor vehicle",34
"04df5a14cd80a2578d25c8ceb7446a35","Collision with motor vehicle",85
"04eacb5953dc1424f28aa815595deda7","Rollover",60
"04f73cce984a70d9c02c519b2c9488b0","Collision with motor vehicle",66
"04fd799bf6047d75807a558a6ec139ef","Collision with motor vehicle",65
"0501f2f39f3960e4814cbd2cfebb0ea4","Collision with motor vehicle",52
"0512792291af4ce4778c934fcd28c794","Collision with motor vehicle",67
"0514f5fe10c6282477b9c6202e3a05a5","Collision with bicycle",71
"051e327b36a00c4c2d08f16a12c5ea0e","Collision with motor vehicle",58
"051e462581966b4ea5eb339371c98af6","Collision with motor vehicle",57
"05273e888907e661379c5d772f5ec71b","All other",58
"052830d5643e25d592fed370624985fa","Collision with motor vehicle",35
"052f5144b34b2dd8c0c99713483eb06e","Collision with motor vehicle",59
"05342dc7e5491e51a4e57cd38c72daa9","Collision with motor vehicle",29
"0536e30ebe97132fe5d43e45df03da5e","Collision with motor vehicle",84
"0538312daecfc3e10401dedd3d65f530","Collision with animal",65
"05394ddf808ee612eb5e78c7438cf47e","Collision with motor vehicle",57
"053a2080fe84fbb9b3dd4dd251366498","Collision with motor vehicle",32
"053bedd9a5331b22208b33bd12b9f83f","Collision with motor vehicle",54
"0540c403c0c4fa9a87c25ccb821d2865","Collision with motor vehicle",74
"0544613b9612a4c6f80f7b5f23c9cfde","Collision with motor vehicle",83
"054590b11558cb2c576a1a366f909571","Collision with motor vehicle",73
"0547fc1e8d0f2dc75150a3ee04949b4f","Collision with motor vehicle",65
"054ae6686eb3f62f75dc5c8773ebc785","Collision with motor vehicle",33
"054af6eb91eca39c1975c73ede33300d","Collision with fixed object",60
"05551a8e2d576a51919c188acb250e30","Collision with motor vehicle",71
"0558b5ff69df2852a90d1730b614a768","Collision with motor vehicle",52
"055b2bbe168a24a857a027c7aa20370b","Collision with motor vehicle",41
"055e197363a34ce8bc4d8a70673f40d4","Collision with motor vehicle",31
"05608c43a6f80e5ca1333f37358b9147","Collision with motor vehicle",30
"0562691682e2997b2b8b32ba26553b05","Collision with motor vehicle",47
"056e694b506e66ad440ec2f2d800ce40","All other",47
"0570e97676a1089609b4e53eb0a1b493","Collision with motor vehicle",61
"0571ab8b45385594f65040c2122d916f","Collision with motor vehicle",56
"0573b0e86faa5b2435914a71383419fd","All other",91
"057859a732a7fa3e8143e74cb7737ad2","Collision with motor vehicle",34
"057e458afdab0970cc2584cfafa09ab4","Collision with motorcycle",32
"058e8c4c26f82b635effd8ea1f0a3fe5","Collision with motor vehicle",56
"0591aa517d1ed5d718e5a246173d8e97","Collision with motor vehicle",58
"05958b5669af26ce864a56dbf62990b4","Collision with fixed object",62
"0595ebf12b74c23dd9d76d4519ef46da","Collision with motor vehicle",38
"0596a6a62ce4bfc923f1d5e2242655ee","Collision with fixed object",39
"059c77c105f7f949d072f321a8defba4","Collision with motor vehicle",61
"05a4accde2f7efefeb8c30c9c543ac86","Collision with motor vehicle",60
"05b26499cc10d6da4cbd96e0362cb79a","Collision with fixed object",65
"05b26bcb520ea941da0e85834e55985e","Entering or getting out of a vehicle",86
"05bce7282d044ea50119c171ce8595a0","Rollover",71
"05bdd4162eb3b45273c2ca67a9d9daf7","Collision with motor vehicle",63
"05c3203c2175adb2097e71a426a014b7","Collision with fixed object",48
"05c817a9685bf955e1e0e50595d3dcbb","Collision with motor vehicle",40
"05cdd23b618a4d2c4b6ef99ea7b69a1b","Collision with motor vehicle",80
"05f104159c7b58c59e84642a2bb6e572","Collision with other object",61
"05f3a0a59a24f38e1445e0415d5376b4","Collision with motor vehicle",80
"05f7167f91f13f0115de1028d1c4f8d8","Collision with motor vehicle",94
"05f8c739fb09dea1978e83cbe6f589e4","Collision with fixed object",91
"05fc9653b1ca5292908634ac42f31100","Collision with motor vehicle",61
"05fe413fb9fc882ca1a75ab778658997","Collision with motor vehicle",53
"0607a26f2369d126751d0f729ac4db32","Collision with motor vehicle",42
"060e211ecccf16f791eea4e97babd325","Collision with motor vehicle",63
"060f31025cc87f95f1a4140fe321a6c2","All other",40
"06115b4630fc251a078e9642973fa5ca","Collision with motor vehicle",70
"061c83cc71dde96546a694927963e1cd","Collision with motor vehicle",74
"061dec8cd4a808a99dd0d7f719fee879","Collision with motor vehicle",84
"0628e12c9c925d851b8f59fd3c9647e6","Collision with motor vehicle",39
"062c05c07bbadc34cdddfbebda396104","Collision with fixed object",55
"0636b27770a36703cb1998a1b26471ca","All other",54
"063820813c13a0a01666c11df51ce868","Collision with motor vehicle",52
"063e00a3abb5529f0ea24054e693497b","Collision with motor vehicle",73
"0644f9f9d148d5b4212feaccded89c9e","Collision with motor vehicle",56
"064d288562397d54f4b2367e37672f7a","Collision with fixed object",39
"06586cd2df248ee4aa3e910b94c6dc94","Collision with motor vehicle",46
"065d58dcbea9bfb16f731e6ae210f279","Collision with motor vehicle",55
"0660e8be0ababab6463ceac7c50961df","All other",48
"0664b1278afd4bf09dfe403eac664c75","Collision with motor vehicle",44
"066b7260cc85e5835b1e559cb0922771","Collision with motor vehicle",74
"0675a8f632319a98160199a702d64938","Collision with motorcycle",51
"06762c5f03cf31075b19c11f9e6fbc32","Collision with fixed object",55
"06770676c77dd1b33b007731376eb0a6","Collision with motor vehicle",42
"067a2a777e55eeaed1d6643bdefb138d","Collision with motor vehicle",66
"068111117d45d6473d564574d44ae689","Collision with motor vehicle",68
"0681d952a1d4dab60652649a8fad1220","Collision with motor vehicle",91
"068246ab33965427cda9b94a8fc16ec7","Collision with motor vehicle",39
"068490d5ed0a91ed8176c108fb3111d8","Collision with motor vehicle",37
"06864487e4a23d4f2b91772fa534f2bf","Rollover",24
"068c7edde9252ffc0a4f6475d2cea7d9","Collision with motor vehicle",36
"06914c40dbd9f73fb12a90b369fd0ac8","Collision with motor vehicle",52
"069e901ed31275f35f4bbbfb59db7421","Collision with fixed object",69
"06b4f2e66be0a8cc277a1fed41e909ac","Collision with motor vehicle",84
"06bd4fec94c63508e2bdcaa3b98387de","Rollover",74
"06c43e187ea9edac2efdf65f41535672","Collision with fixed object",58
"06c48a7a73b446cc85d666c389144947","Collision with motor vehicle",61
"06c50e69381dbd19396cfc86c0d511a6","Collision with motor vehicle",37
"06ce3907a89a2cc586acace6cb505a5b","Collision with motor vehicle",55
"06ce478edefef9246397ea4464dca30e","Collision with other object",66
"06d3182707b4a4c85e2cbfaff3c101c0","Collision with motor vehicle",49
"06d7734cd9981b726a79c6685e9904e8","Collision with motor vehicle",60
"06da050c50eddc1511e10b97b8e7162f","Hit while parked - insured",68
"06dc54ea7fbe36746bba9091a984eefa","Collision with motor vehicle",73
"06e0f9307b787e1316f8ba4fef23b7d6","Collision with motor vehicle",37
"06f2eb31e0283b0abeaa8ca777f43197","Collision with motor vehicle",53
"06f3b4ec167d593ccc5e143c67ce22ae","Collision with motor vehicle",72
"06fa7e9d9e717d6b166f9af2ed305e45","Collision with motor vehicle",78
"070a27e58111f5abaf0d84906127d493","Collision with motor vehicle",51
"070f3d076e1668a862becde3a442f38c","Collision with motor vehicle",34
"07100331e1ed48eab09d0ef2334aebbf","Collision with motor vehicle",53
"07112b949e670e0c7e73c56dd6790ca4","Collision with motor vehicle",83
"071364dd0f7d99ec00b642ac0cad6670","Collision with motor vehicle",23
"0716b252daeb2b7b3e42f4f5d5130c3f","Collision with motor vehicle",67
"071bf6598c8d4012da8d57517b18c5da","Collision with motor vehicle",28
"071ca57084d87346098f1ec5ae8c7493","Collision with motor vehicle",53
"07277387e308b78312b04b9295b20dfb","Collision with motor vehicle",55
"072ed1ae4c8ed6e0b6477df14eb7f0a7","Collision with motor vehicle",56
"0730bd4bc585b7d04d0a89920610f09a","Collision with motor vehicle",81
"07333e9777f89ed603795d49dd5a91da","Collision with motor vehicle",51
"0736de7774b2023b189d1db14e237703","All other",58
"073a899fb3c82159686ef81170cc31e1","Collision with motor vehicle",43
"0740733754cb19eafb6fdfdb208475e1","Collision with motor vehicle",66
"074dcdf3325298ea201f88edaace22a2","Collision with motor vehicle",70
"075d9992def118aba6043abdc92ce669","Collision with motor vehicle",38
"0760d45a06187cab80419d26b85cda21","Collision with fixed object",52
"076246c6a02346b011cd92658841f4c7","Collision with motor vehicle",85
"07662bacb9aea2dc2516d0509cc0562e","Collision with motor vehicle",72
"0766720be86dd0fd29bfb470d2c08df0","Collision with motor vehicle",62
"0766b18f22d9884380f90bee1cbc1e0c","Collision with motor vehicle",58
"076c1de535a80906cf708be8f58977cc","Collision with motor vehicle",51
"076ce08751e8d00a9f3e32eabf6e1150","All other",36
"077492deaad7ae2842edb21e26c0cf89","Collision with motor vehicle",71
"077e29d1d954f39f6e81d8c7292e0840","Collision with motor vehicle",87
"0780063c938670bcee449c7d1487d6cf","Collision with motor vehicle",58
"07822af742623d4809ddbbc5f912d27b","All other",64
"0784e5c048f99b38f4a12da191a55d79","Collision with motor vehicle",51
"0786c3fcd2bf918b1c8ffff0d60546c2","Collision with motor vehicle",37
"079475a371c59425ae6b5b3aa0eed66a","Collision with motor vehicle",48
"079ce127ceb4d498a4471e3704e43598","Collision with motor vehicle",54
"079cf579387da5b10ed57d38b6bb6aed","Collision with motor vehicle",51
"07a41d08b1a4b33bd07784e6964b652e","Collision with fixed object",71
"07a70465fc515d9f9757fc20a3a19e82","Collision with animal",70
"07a7eca502d99c68397e0b5c1be3c412","Hit and run",65
"07a8a1b2b826121759cfc01140659275","Collision with motor vehicle",61
"07a8be026ce00abc6f4aef23e44b5db2","Collision with motor vehicle",66
"07ae78cedf52e57d1a762f1fb895c1fb","Collision with motor vehicle",69
"07b47e19f5efc808ac7ea1793daaef8b","Collision with motor vehicle",61
"07b51a90b169f957e1cfa9fbc45f5c2d","Collision with motor vehicle",58
"07b8e68069cc52a17a71b56ba91a124e","Collision with motor vehicle",38
"07cd2f10796f87406e5fff0721a3dafb","Collision with motor vehicle",57
"07db4f51ba16477d39a7e97a33cd3932","Collision with motor vehicle",33
"07dff00aa72692bf747e6a50432108a0","Collision with motor vehicle",73
"07e00bb08df62961b609d380191448af","Collision with fixed object",63
"07e853a5709f144dbfaaad846efa5307","Collision with motor vehicle",31
"07eb192fd7219d28e0e212b4c0d30e9a","Collision with motor vehicle",46
"07f7cccdf45fafdc73904f6ec64d3b14","Collision with motor vehicle",69
"07fa79bc836b30b751e24f79632868ac","Collision with motor vehicle",81
"07fc058181442c497a60df092e15a14d","Collision with motor vehicle",55
"080204ddc485429a6ef34b2f70bb3307","Collision with bicycle",56
"080cc85eddfa0cd42de10fd9fea27764","Collision with motor vehicle",55
"080e006e2dac64b422bd4a2dc30a916c","Collision with fixed object",40
"082769ffb0af9bf2ae25757486b2213f","Collision with motor vehicle",58
"0829508fb4d07568de6a6c0452a67ccc","Collision with motor vehicle",56
"0830b0ff125069d100daf61e8e1e0a90","Collision with motor vehicle",52
"0836b667077e22084799c1b8b8f72a57","Collision with motor vehicle",41
"0837c1b49f7379d4c1903aef310b1f40","Collision with motor vehicle",55
"08381f403bd47578552a4454f57371b9","Collision with motor vehicle",47
"084db16bf7402f57ab6cc7cf705f6e59","Collision with motor vehicle",34
"08513fa5420114afb9baf8ebb24d74b5","Collision with motor vehicle",70
"0851e5287aac7c81e897ef58405dc8fa","Collision with motor vehicle",43
"0856507b107fc7087554a2a934925cd0","Collision with motor vehicle",59
"086151fdb13aca22b876db2023effd42","Collision with motor vehicle",53
"0864aa7a8f07e77c7901aa09b3c4124d","All other",73
"086dc40622f4e4f888aa66dc7c18f22d","Collision with motor vehicle",85
"086f89e7c70665d7b99e5829782c1c46","Collision with motor vehicle",54
"0870b852e71e6e786fe1fb804336c02b","Collision with motor vehicle",63
"087108296cc10f2bd8c5f301835b7cc1","Collision with fixed object",65
"0876af69d70469764ea7fa290f46d1eb","Collision with motor vehicle",57
"08867e28625c57494a0e4bf7746f0a0f","Collision with motor vehicle",91
"088740e30816aa16867a289aaf4fa808","Collision with motor vehicle",28
"088f053562bbe4c383cb7d9843ea95e4","Collision with pedestrian",39
"08907fa933781d139305af4ab82a84d1","Collision with motor vehicle",59
